essentially,adv. 本质上；本来
resist the impact,找不到解释
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
appendix,n. 附录；阑尾；附加物
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
artery,n. 动脉；干道；主流
arterial,adj.  动脉的；干线的；像动脉的
bladder,n. 膀胱；囊状物，可充气的囊袋
bladder cancer,"un. 膀胱癌
 膀胱恶性肿瘤；膀胱癌的简介；膀胱肿瘤"
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
circulatory,adj. 循环的
circulatory system,"un. 循环系统
 循环式；血液循环系统；循环系统变化"
digestive,"n. 助消化药
adj. 消化的；助消化的"
digestive system,"n. 消化系统
 肠胃；消化系统所包含的器官；主要系统有消化系统"
gland,"n. 腺
密封压盖"
glandular,adj. 腺的，腺状的
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
elbow joint,"na. 弯管接头
 肘关节；肘接；纣关节"
kidney,n.  肾脏；腰子；个性
kidney stone,"n. 肾石
 肾结石；软玉；吃出来的肾结石"
liver,n. 肝脏；生活者，居民
liver function, 肝功能；肝功能检查；肝脏功能
lung,n. 肺；呼吸器
lung lobe,找不到解释
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
cardiac muscle,"un. 心肌
 心脏肌；心脏肌肉；心肌质量"
muscular,adj. 肌肉的；肌肉发达的；强健的
muscular system,"un. 肌肉系统
 肌肉系统介绍；肌肉组织"
nervous system,"n. 神经系统
 神经系统用药；神经细统；表示神经系统"
pancreas,n.  胰腺
pancreatic,adj. 胰的；胰腺的
plasma,n.  等离子体；血浆； 深绿玉髓
reproductive system,"un. 生殖系统
 繁殖系统；生殖系统疾病；男女生殖系统"
respiratory,adj. 呼吸的
respiratory system,"un. 呼吸系统
 呼吸系统疾病；强化呼吸系统；呼吸系统用药"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
rib cage,"un. 肋骨架；胸腔
 肋骨篮；胸廓；肋骨支架"
shoulder blade,"n. 肩胛骨
 肩胛的骨折；洈胛骨肉；肩膀刀刃"
skull,n. 头盖骨，脑壳
skull fracture,"un. 颅骨折
 颅骨骨折；头颅骨折；头骨骨折"
spine,n. 脊柱，脊椎；刺；书脊
spineless,adj. 没有骨气的；无脊椎的；懦弱的
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
stomach ulcer,n. 胃溃疡
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
soft tissue,"n. （皮肤、肌肉等）软组织
 软体组织；软组织篇；软组织疾病"
urinary system,"un. 泌尿系统
 泌尿系统肿瘤；泌尿学说；泌尿系统疾病"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
gash vein,裂缝脉
vessel,n. 船，舰； 脉管，血管；容器，器皿
vessel wall,"un. 管壁；血音壁
 血管壁；器壁；容器壁"
anatomy,n. 解剖；解剖学；剖析；骨骼
anatomical,adj. 解剖的；解剖学的；结构上的
cardiology,n.  心脏病学
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
blood cells,"un. 血细胞
 血液细胞；血球；细胞形状的血球"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
embryonic,adj.  胚胎的；似胚胎的
excrete,vt. 排泄；分泌
excretion,n. 排泄，排泄物；分泌，分泌物
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
fertilize,vt. 使受精；使肥沃
fertilization,n.  施肥； 受精；肥沃
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
hormone,n.  激素，荷尔蒙
hormonal,adj. 荷尔蒙的，激素的
ingest,vt. 摄取；咽下；吸收；接待
ingestion,n. 摄取；吸收；咽下
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
inbreathe,v. 吸入
metabolism,n.  新陈代谢
metabolic,adj. 变化的；新陈代谢的
neuron,n.  神经元，神经单位
physiology,n. 生理学；生理机能
physiological,adj. 生理学的，生理的
reproduction,n. 繁殖，生殖；复制；复制品
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
saliva,n. 唾液；涎
salivary,adj. 唾液的；分泌唾液的
secrete,vt. 藏匿；私下侵吞；分泌
secretion,n. 分泌；分泌物；藏匿；隐藏
syndrome,n.  综合症状；并发症状；校验子；并发位
reflex,"n. 反射；反映；映像；回复；习惯性思维
adj. 反射的；反省的；反作用的；优角的"
reflex action,"na. 反射作用
 反射动作；反射动作反射酌；反射活动"
reflection,n. 反射；沉思；映象
reflexive,"n. 反身代词；反身动词
adj. 反身的； 反射的"
reaction,n. 反应，感应；反动，复古；反作用
reactive,adj. 反应的；电抗的；反动的
reactivity,n. 反应；反动
reactor,n.  反应器； 反应堆；起反应的人
irritant,"n.  刺激物， 刺激剂
adj. 刺激的；刺激性的"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
irritable,adj. 过敏的；急躁的；易怒的
airway,n. 导气管；空中航线；通风孔
cessation,n. 停止；中止；中断
suspension,n. 悬浮；暂停；停职
incessant,adj. 不断的；不停的；连续的
incessantly,adv. 不停地，不间断地
allergic,adj. 对…过敏的；对…极讨厌的
allergy,n. 过敏症；反感；厌恶
allergen,n.  过敏原
asthma,n.  哮喘，气喘
bronchial asthma,"un. 支气管哮喘；支气管气喘病；吼病
 支气管性气喘；支气管性哮喘；过敏性哮喘"
tuberculosis,n. 肺结核；结核病
breastbone,n.  胸骨
bronchia,n. 支气管; 喉管
bronchitis,n.  支气管炎
chest,n. 胸，胸部；衣柜；箱子；金库
chest pain,"un. 胸痛
 胸口痛；胸闷；心绞痛"
lung,n. 肺；呼吸器
lung lobe,找不到解释
marrow,n. 髓，骨髓；精华；活力
respiratory system,"un. 呼吸系统
 呼吸系统疾病；强化呼吸系统；呼吸系统用药"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
rib cage,"un. 肋骨架；胸腔
 肋骨篮；胸廓；肋骨支架"
spine,n. 脊柱，脊椎；刺；书脊
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
trachea,n.  气管； 导管
abnormal,adj. 反常的，不规则的；变态的
abnormal phenomena, 异常现象
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
advanced stage,"un. 晚期；后期；先进水平；进展期
 高级；高级阶段；晚期肝癌"
ailment,n. 小病；不安
common ailment,常见病
alleviate,vt. 减轻，缓和
alleviation,n. 缓和；镇痛物
benign,adj. 良性的；和蔼的，亲切的；吉利的
benign tumor,"un. 良性瘤
 良性肿瘤；良性肿瘤和；良性脑肿瘤学"
buzzing,"n. 嗡嗡声；嘈杂声
adj. 嗡嗡响的；嘈杂的
v. 发出嗡嗡声；东奔西忙；暗中散布（buzz的ing形式）"
chilly,adj. 寒冷的；怕冷的
chronic,adj. 慢性的；长期的；习惯性的
chronic bronchitis,"un. 慢性支气管炎
 慢性气管炎；慢性支气管炎症状；慢性支气管炎疾病"
communicable,adj. 可传达的；会传染的；爱说话的
communication,n. 通讯， 通信；交流；信函
congenital,adj. 先天的，天生的；天赋的
congenital defect,"un. 先天缺陷；先天性缺陷；先天不足
 先天遗传缺陷；先天性残障；先天缺憾"
convulsion,n.  惊厥；动乱；震撼；震动
convulse,vt. 震撼；使剧烈震动；使抽搐
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
muscle cramp,"un. 肌肉痉挛
 抽筋；肌肉痉銮；肌肉抽筋"
dehydration,n. 脱水
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
diagnosis,n. 诊断
dizziness,n. 头晕；头昏眼花
dizziness and tinnitus,"《英汉医学词典》dizziness and tinnitus
头晕耳鸣"
drowsy,adj. 昏昏欲睡的；沉寂的；催眠的
feel drowsy,找不到解释
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
get a fever,找不到解释
flu,n. 流感
bird flu,"n. 禽流感（鸟类传染病，可感染人类并导致死亡）
 一种鸟流感；因禽流感；鸟类流感"
food poisoning,"n. 食物中毒
 食品中毒；让我食物中毒；食行中毒"
headache,n. 头痛；麻烦；令人头痛之事
violent headache,找不到解释
hoarse,"adj. 嘶哑的
嘶哑地"
hoarse voice,"un. 音哑
 声音沙哑；发声嘶哑；声音嘶哑"
impotent,adj. 无力的；无效的；虚弱的；阳萎的
impotence,n.  阳萎；虚弱；无效（等于impotency）
incurable,"n. 患不治之症者，不能治愈的人
adj. 不能治愈的；无可救药的"
incurable disease,"un. 不治之症；绝症
 死症；无法医治的疾病；无法治愈的病"
itchy,adj. 发痒的；渴望的
killing,"adj. 杀害的；迷人的；使人筋疲力尽的
n. 杀戮；谋杀；猎获物
v. 杀死；消磨；毁掉（kill的ing形式）"
mercy killing,"n. 安乐死；无疼痛致死术
 安乐死术；减少痛苦的处决；仁慈杀害"
latent period,"na. 潜伏期
 潜隐期；潜伏时间；潜育期"
lethal,"adj. 致命的，致死的
n. 致死因子"
lethal dose,"un. 致死剂量
 致死量；致命剂量；致死射线量"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
malignant neoplasm, 恶性新生物
neglect of exercise,找不到解释
non-infectious, 非传染性疾病；非感染性；非感染组
non-infectious disease,非侵染性病害
numbness,n. 麻木；麻痹
occasional,adj. 偶然的；临时的；特殊场合的
occasional sleeplessness,找不到解释
overfatigue,"vt. 使疲劳过度
n. 过劳"
palpitate,"vt. 使发抖
vi. 发抖；（心脏）悸动；跳动"
palpitation,n.  心悸；跳动；颤动
phlegm,n. 痰；粘液；粘液质
eliminate phlegm,找不到解释
potential complication,找不到解释
prevent further worsen,找不到解释
recheck,vt. 再核对，再检查
countercheck,"n. 阻挡，对抗方法，妨碍
vt. 制止，防止，复查"
remediable,adj. 可治疗的；可矫正的；可补救的
remediation,n. 补救；矫正；补习
remittent,"n. 弛张热
adj. 间歇性的；忽轻忽重的"
remittent fever,"un. 驰张热；弛张热
 弛张型；间歇热；回归热"
runny nose, 流鼻涕；流鼻水；流涕
slight fever,"un. 低烧；微热
 轻微发烧；相爱时说的话；失爱的抓狂"
sneeze,"n. 喷嚏
vi. 打喷嚏"
sneeze at, 藐视；轻视；蔑视
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
sore throat,"n. 嗓子痛
 喉咙痛；咽喉痛；嗓子疼"
sprain,"n. 扭伤
vt. 扭伤"
stabbing pain,"un. 剌痛
 刺痛；刀刺痛；疼痛性质可为刺痛"
stuffy nose,"un. 鼻塞
 鼻窒；鼻子堵了；鼻子塞"
symptom,n.  症状；征兆
clinical symptom,临床症状
tolerate,vt. 忍受；默许；宽恕
toleration,n. 宽容，忍受，默认；耐受性
ulcerated tongue,"《英汉医学词典》ulcerated tongue
莲花风"
unbearable,adj. 难以忍受的；承受不住的
unbearable pain,"un. 痛不可忍
 难以忍受的疼痛；难以忍受的痛苦；不堪忍受的疼痛"
uncomfortable,adj. 不舒服的；不安的
comfortable,"n. 盖被
adj. 舒适的，舒服的"
under the weather,"na. 身体不适；不太舒服
 身体不舒服；生病；有病"
unwell,adj. 不舒服的；生病的
feel unwell,找不到解释
consumer,n. 消费者；用户，顾客
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
lobbyist,n. 说客；活动议案通过者
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptive,adj. 易接纳的，可领受的
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
claim sth. back,找不到解释
claimant,n. 原告； 索赔人；提出要求者
suspicious,adj. 可疑的；怀疑的；多疑的
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
be of age,"na. 成年
 同龄；成年人；长大成人"
under age,"na. 未成年
 未达到法定年龄；不足年龄；未到法定年龄"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allocation,n. 分配，配置；安置
analysis,n. 分析；分解；验定
analysis report,"un. 化验报告
 分析报告；分析报表；管理分析报表"
bestseller,n. 畅销书；畅销书作者；畅销商品（等于best seller）
brainwashing,"n. 洗脑
v. 对…洗脑；把思想强行灌输给（brainwash的ing形式）"
cash-strapped,adj. 缺乏现金的；没有足够资本的
cash-starved,adj. 周转资金不足的；资金短缺的
cheap and fine,找不到解释
client,n.  客户；顾客；委托人
client service, 客户服务；客户服务中心；客户服务专员
conspicuous consumption,"n. 夸耀性消费；炫耀性购买
 炫耀性消费；炫耀消费；炫耀式消费"
consumer psychology,"un. 消费者心理；顾客心理学
 消费心理学；消费者心理学；消费者的心理"
consumer surplus,"un. 消费者剩余
 消费者盈余；消费者剰余；马歇尔的消费者剩余"
customer,n. 顾客；家伙
customer loyalty, 顾客忠诚度；客户忠诚；客户忠诚度
customer demand, 顾客需求；客户需求；用户需求
decisive,adj. 决定性的；果断的，坚定的
decisive role,找不到解释
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
discounter,n. 折扣商店；廉价商店
disposable income,"na. 可用收入
 可支配收入；可支配所得；可动用收入"
elasticity of demand,"un. 需求弹性
 需求的伸缩性；价格弹性；需求弹性的含义"
emotional,adj. 情绪的；易激动的；感动人的
emotionless,adj. 没有情感的；不露情感的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
exceptional case,"un. 例外情况；例外事件
 例外情况下；特殊情况；例外个案"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
gender discrimination, 性别歧视；社会性别歧视；性别歧视的社会问题探讨
high income,"adj. 高收入的
 高收入国家；高所得；收入丰厚"
high-end,adj. 高端的；高档的
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
impulsive,adj. 冲动的；受感情驱使的；任性的
light-hearted,adj. 轻松的；无忧无虑的
light-footed,adj. 轻盈的；脚步轻快的
low income,"un. 低收入
 低收入国家；低收入户；低收入比"
