accomplishment,n. 成就；完成；技艺，技能
department,n. 部；部门；系；科；局
deserve,"vi. 应受，应得
vt. 应受，应得"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
digression,n. 离题；脱轨
director,n. 主任，主管；导演；人事助理
disadvantage,n. 缺点；不利条件；损失
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
flagellum,n.  鞭毛；鞭子；鞭状匍匐枝
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
foolish,adj. 愚蠢的；傻的
fungi,n. 真菌；菌类；蘑菇（fungus的复数）
glacial,adj. 冰的；冰冷的；冰河时代的
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
inconspicuous,adj. 不显眼的；不引人注意的；（花）不显著的
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
journal,n. 日报，杂志；日记；分类账
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
lost and found,"n. 失物招领处
 天涯海角；远在天边；失而复得"
lush,"adj. 丰富的，豪华的；苍翠繁茂的
vi. 喝酒
n. 酒；酒鬼
vt. 饮"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
nationalism,n. 民族主义；国家主义；民族特性
nominee,n. 被任命者；被提名的人；代名人
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
notation,n. 符号；乐谱；注释；记号法
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
palate,n. 味觉；上颚；趣味
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
postcard,n. 明信片
president,n. 总统；董事长；校长；主席
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
rancher,n. 大农场经营者；大农场工人
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
reddish,adj. 微红的；略带红色的
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
scholar,n. 学者；奖学金获得者
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
sheath,n. 鞘；护套；叶鞘；女子紧身服装
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
spacecraft,n.  宇宙飞船，航天器
spherical,adj. 球形的，球面的；天体的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
tally,"n. 计数器；标签；记账
vi. 一致；记分
vt. 使符合；计算；记录"
tenement,n. 房屋；住户，租户；租房子
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
zealous,adj. 热心的，热情的，积极的
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
acidity,n. 酸度；酸性；酸过多；胃酸过多
acting,"n. 演技；演戏；假装
adj. 代理的；装腔作势的"
adoption,n. 采用；收养；接受
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
angiosperm,n.  被子植物
aquifer,n. （美）蓄水层；含水土层
arboreal,adj. 树木的；栖息在树上的
aurora,n.  极光；曙光
available,adj. 可获得的；可购得的；可找到的；有空的
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
bacon,n. 咸肉；腌肉；熏猪肉
balcony,n. 阳台；包厢；戏院楼厅
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
centennial,"n. 百年纪念
adj. 一百年的"
chagrin,"n. 懊恼；委屈；气愤
vt. 使…懊恼"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
collaborator,n.  合作者；勾结者；通敌者
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
comet,n.  彗星
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
detest,vt. 厌恶；憎恨
economy,n. 经济；节约；理财
emerald,"n. 绿宝石； 祖母绿；翠绿色
adj. 翠绿色的"
emotion,n. 情感；情绪
ethnology,n. 人种学；人类文化学
exceed,"vt. 超过；胜过
vi. 超过其他"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expressive,adj. 表现的；有表现力的；表达…的
feminist,"n. 女权主义者
adj. 主张女权的"
financial,adj. 金融的；财政的，财务的
forerunner,n. 先驱；先驱者；预兆
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
identity,n. 身份；同一性，一致；特性；恒等式
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
inaccessible,adj. 难达到的；难接近的；难见到的
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
inventory,n. 存货，存货清单；详细目录；财产清册
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
landmass,n. 大陆
latent,adj. 潜在的；潜伏的；隐藏的
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
manner,n. 方式；习惯；种类；规矩；风俗
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
monumental,adj. 不朽的；纪念碑的；非常的
neutron,n.  中子
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
penmanship,n. 书法；笔迹；笔法
permission,n. 允许，许可
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
preponderance,n. 优势；多数；占优势
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
propel,vt. 推进；驱使；激励；驱策
quotation,n.  报价单；引用语；引证
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
remodel,vt. 改造；改变；改型
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
sacrificial,adj. 牺牲的；献祭的
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
silicon,n.  硅；硅元素
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
transcend,vt. 胜过，超越
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
typical,adj. 典型的；特有的；象征性的
viral,adj. 病毒性的
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
astute,adj. 机敏的；狡猾的，诡计多端的
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
construct,"n. 构想，概念
vt. 建造，构造；创立"
consumption,n. 消费；消耗；肺痨
creativity,n. 创造力；创造性
cuneiform,"n. 楔形文字；楔状骨
adj. 楔形的；楔形文字的；楔状骨的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
democrat,n. 民主党人；民主主义者；民主政体论者
detect,vt. 察觉；发现；探测
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
Easter,n. 复活节
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
engaging,"v. 参加（engage的ing形式）；保证；雇用
adj. 迷人的"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
enrollment,n. 登记；入伍
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
fitness,n. 健康；适当；适合性
flamboyant,"adj. 艳丽的；火焰似的；炫耀的
n. 凤凰木"
folklore,n. 民俗学；民间传说；民间风俗
generalization,n. 概括；普遍化；一般化
genetic,adj. 遗传的；基因的；起源的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
incessantly,adv. 不停地，不间断地
instruction,n. 指令，命令；指示；教导；用法说明
juice,n. （水果）汁，液；果汁
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
larva,n.  幼体， 幼虫
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
melodie,n. <法>小旋律歌曲
meteorologist,n. 气象学者
musician,n. 音乐家
normally,adv. 正常地；通常地，一般地
nutrition,n. 营养，营养学；营养品
omit,vt. 省略；遗漏；删除；疏忽
orientation,n. 方向；定向；适应；情况介绍；向东方
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
portrait,n. 肖像；描写；半身雕塑像
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
prerequisite,"n. 先决条件
adj. 首要必备的"
prolific,adj. 多产的；丰富的
punctual,adj. 准时的，守时的；精确的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
reschedule,vt. 重新排定日程；重订时间表；重新计划
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
selection,n. 选择，挑选；选集；精选品
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
sled,"n. 雪橇
vt. 用摘棉机摘；用雪橇运
vi. 乘雪橇；用雪橇运"
slumber,"n. 睡眠；麻木状态；静止状态
vi. 睡眠；蛰伏；麻木
vt. 睡眠；睡着度过"
smoothly,adv. 平稳地，平滑地；流畅地，流利地
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tolerate,vt. 忍受；默许；宽恕
tuition,n. 学费；讲授
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
viable,adj. 可行的；能养活的；能生育的
volcano,n. 火山
warehouse,n. 仓库；货栈；大商店
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accredit,vt. 授权；信任；委派；归因于
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
afford,vt. 给予，提供；买得起
