ability,n. 能力，能耐；才能
location,n. 位置（形容词locational）；地点；外景拍摄场地
location scout,找不到解释
movie producer, 电影制片人；电影制作人
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
network installer,找不到解释
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
on stage,"adv. 在前台(的)
 在舞台上；在台上；舞台风采"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
rehearse,"vt. 排练；预演
vi. 排练；演习"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scene,n. 场面；情景；景象；事件
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
screenplay,n. 编剧，剧本；电影剧本
screenwriter,n. 编剧家；电影剧本作家
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
script doctor,找不到解释
separately,adv. 分别地；分离地；个别地
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
shoot a scene,找不到解释
shoot a movie scene,找不到解释
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
sitcom,abbr. 情景喜剧（situation comedy）
TV sitcom,找不到解释
situational comedy,找不到解释
soon after,"na. 不久
 不久以后；不久之后；很快"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
stagehand,n. 舞台工作人员；舞台管理
stand in,"na. 加入；使花费
 代替；做替身；代替演员站好位置"
stand in for, 取而代之；替代；作…的替身
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
 坚持到底；显眼；凸出"
studio,n. 工作室； 演播室；画室；电影制片厂
stunt person,(男或女)特技替身演员
thousands,n. 数千（thousand的复数）
thousands of,"adj. 几千；成千上万
 成千上万的；数以千计的；数千"
three-dimensional,adj. 三维的；立体的；真实的
3-D,abbr. 三维的（three dimensional）
write out,"na. 写出；缮写；(作家等)写得写不出
 全部写出；开；写下"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
coffee break,"n. 工间喝咖啡休息时间
 茶歇；中场休息；上班中的休息时间"
car alarm, 汽车报警器；汽车防盗器；汽车防盗系统
child care,"na. 保育事业
 儿童保健；儿童护理；儿童保育"
day care,"n. 日托；日间护理
 托儿所；日间托儿所；日托所"
downsizing,n. 精简，裁员；缩小规模
ethnic conflict, 种族冲突；民族冲突；族群冲突
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
gun violence,找不到解释
handgun,n. 手枪
health care,"n. 医疗保健；医疗卫生
 卫生保健；健康护理；健康照护"
helmet,n. 钢盔，头盔
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的"
honk,"n. 雁叫声；汽车喇叭声
vi. 发雁鸣或汽车喇叭声
vt. 按汽车喇叭"
horn,"n. 喇叭，号角；角
vt. 装角于"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
illiteracy,n. 文盲；无知
insurance,n. 保险；保险费；保险契约；赔偿金
health insurance,"n. 健康保险
 医疗保险；疾病保险；健保"
make ends meet, 使收支相抵；量入为出；收支平衡
next door,"n. 隔壁邻居；住在隔壁的人
adv. 在隔壁
 邻家；隔邻"
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
periodic,adj. 周期的；定期的
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
run-down,"n. 刺杀出局；总结
adj. 破败的；衰弱的"
Seeing Eye dog, 导盲犬；一只导盲狗；一只导盲犬
stray animals, 迷失动物；离群动物；流浪动物篇
street crime, 街头犯罪；街上犯罪；街头案件
tax,"n. 税金；重负
vt. 向…课税；使负重担"
sales tax,"n. 销售税（某些国家的税种，由消费者负担）
 营业税；消费税；产品销售税金"
telemarketing,n. 电话推销，电话销售
accomplish,vt. 完成；实现；达到
adaptable,adj. 适合的；能适应的；可修改的
addiction,n. 上瘾，沉溺；癖嗜
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
ambassador,n. 大使；代表；使节
goodwill ambassador, 亲善大使；友好大使；亲善使者
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
courageous,adj. 有胆量的，勇敢的
cynical,adj. 愤世嫉俗的；冷嘲的
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
emergency room,"n. （医院）急诊室
 急救室；急症室；急诊抢救室"
frustrating,"v. 使沮丧（frustrate的ing形式）
adj. 令人沮丧的"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
imaginative,adj. 富于想象的；有创造力的
impaired,"v. 损害（impair的过去式和过去分词）
adj. 受损的"
visually impaired, 弱视；视觉障碍；视力受损的
insensitive,adj. 感觉迟钝的，对…没有感觉的
land mine,"na. 地雷；第二次世界大战中用降落伞投下的薄壳炸弹
 地雷陷阱；埋设地雷；即地雷"
life-or-death,adj. 生死攸关的
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
manage to,"v. 设法处理
 达成；设法完成；设法做到"
nursing home,"n. 小型私立疗养院；（尤指）私立养老院
 护理之家；护理院；老人院"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
on a regular basis, 定期地；经常；经常地
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
orphanage,n. 孤儿院；孤儿身份
resourceful,adj. 资源丰富的；足智多谋的；机智的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
self-sufficient,adj. 自给自足的；极为自负的；过于自信的
senior citizen,"n. 老年人（委婉说法，尤指退休者）
 老人；资深公民；老年公民"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
animal shelter,"un. 棚
 动物避难所；动物收养所；动物之家"
homeless shelter, 收容中心；流浪汉庇护所；流浪者之家
timid,adj. 胆小的；羞怯的
unimaginative,adj. 缺乏想象力的；无趣的
upbeat,"n. 兴旺；上升；弱拍
adj. 乐观的；上升的"
weakness,n. 弱点；软弱；嗜好
youthful,adj. 年轻的；早期的
